Block;Block_Row;Block_Column;Sample;Shoots_established;S_axles;S_total;S_substratum;Sp.;Size;Biomass_V;Biomass_NV;Biom_total;per_BiomV;RGR
2;F1;C4;D. scoparium Small;0;0;196;619;D. scoparium;Small;0;0,0032;0,0032;0;-4,00E-04
2;F2;C4;P. capillare Large;28;35;118;600;P. capillare;Large;0,0024;0,0026;0,005;60;5,00E-04
2;F3;C4;H. cupressiforme Large;23;47;129;627;H. cupressiforme;Large;6,00E-04;0,0036;0,0042;15;1,00E-04
2;F5;C4;H. cupressiforme Medium;9;13;110;660;H. cupressiforme;Medium;2,00E-04;0,0032;0,0034;5;-3,00E-04
2;F1;C5;H. aureum Small;20;26;128;598;H. aureum;Small;1,00E-04;0,0024;0,0025;2,5;-0,00075
2;F2;C5;S. ruralis Small;7;9;142;595;S. ruralis;Small;0;0,0035;0,0035;0;-0,00025
2;F3;C5;H. aureum Small;9;19;117;645;H. aureum;Small;0;0,0023;0,0023;0;-0,00085
2;F4;C5;S. ruralis Large;18;33;131;619;S. ruralis;Large;6,00E-04;0,0042;0,0048;15;4,00E-04
2;F5;C5;S. ruralis Large;20;49;122;638;S. ruralis;Large;0,001;0,0041;0,0051;25;0,00055
3;F2;C1;P. capillare Small;17;19;103;677;P. capillare;Small;1,00E-04;0,0029;0,003;2,5;-5,00E-04
3;F3;C1;P. capillare Large;25;38;114;614;P. capillare;Large;0,002;0,0036;0,0056;50;8,00E-04
3;F4;C1;H. cupressiforme Medium;10;13;112;653;H. cupressiforme;Medium;3,00E-04;0,0032;0,0035;7,5;-0,00025
3;F5;C1;H. aureum Large;11;26;115;594;H. aureum;Large;6,00E-04;0,004;0,0046;15;3,00E-04
3;F1;C2;P. capillare Large;34;31;121;644;P. capillare;Large;0,0025;0,0033;0,0058;62,5;9,00E-04
3;F2;C2;H. aureum Small;17;17;134;638;H. aureum;Small;4,00E-04;0,0026;0,003;10;-5,00E-04
3;F3;C2;H. cupressiforme Small;0;0;132;620;H. cupressiforme;Small;0;0,0032;0,0032;0;-4,00E-04
3;F4;C2;H. aureum Medium;18;26;140;633;H. aureum;Medium;9,00E-04;0,0023;0,0032;22,5;-4,00E-04
3;F5;C2;H. cupressiforme Medium;7;7;118;601;H. cupressiforme;Medium;0;0,003;0,003;0;-5,00E-04
3;F1;C3;P. capillare Medium;45;58;134;671;P. capillare;Medium;0,0012;0,0037;0,0049;30;0,00045
3;F2;C3;T. squarrosa Large;49;57;180;612;T. squarrosa;Large;0,0021;0,0042;0,0063;52,5;0,00115
3;F3;C3;H. aureum Large;12;31;144;638;H. aureum;Large;0,00011;0,0037;0,00381;2,75;-9,50E-05
3;F4;C3;H. aureum Small;22;38;129;655;H. aureum;Small;0,001;0,0024;0,0034;25;-3,00E-04
3;F5;C3;H. cupressiforme Large;23;38;112;616;H. cupressiforme;Large;0,001;0,0038;0,0048;25;4,00E-04
3;F1;C4;H. aureum Medium;14;28;107;664;H. aureum;Medium;0,0011;0,0025;0,0036;27,5;-2,00E-04
3;F2;C4;D. scoparium Large;4;11;134;652;D. scoparium;Large;7,00E-04;0,0038;0,0045;17,5;0,00025
3;F3;C4;P. capillare Medium;29;55;131;639;P. capillare;Medium;7,00E-04;0,0032;0,0039;17,5;-5,00E-05
3;F4;C4;D. scoparium Medium;0;0;121;624;D. scoparium;Medium;0;0,0036;0,0036;0;-2,00E-04
3;F5;C4;T. squarrosa Small;109;57;146;604;T. squarrosa;Small;2,00E-04;0,0043;0,0045;5;0,00025
3;F1;C5;S. ruralis Large;20;45;128;638;S. ruralis;Large;0,0014;0,0039;0,0053;35;0,00065
3;F2;C5;D. scoparium Large;3;6;133;638;D. scoparium;Large;0;0,0038;0,0038;0;-1,00E-04
3;F3;C5;P. capillare Small;8;12;143;621;P. capillare;Small;1,00E-04;0,0028;0,0029;2,5;-0,00055
3;F4;C5;P. capillare Medium;46;77;123;630;P. capillare;Medium;0,0013;0,0028;0,0041;32,5;5,00E-05
3;F5;C5;T. squarrosa Small;129;96;191;619;T. squarrosa;Small;4,00E-04;0,004;0,0044;10;2,00E-04
3;F1;C1;D. scoparium Small;0;0;174;621;D. scoparium;Small;0;0,0037;0,0037;0;-0,00015
3;F2;C1;H. aureum Medium;34;53;151;658;H. aureum;Medium;0,0012;0,0019;0,0031;30;-0,00045
3;F3;C1;T. squarrosa Large;32;81;172;631;T. squarrosa;Large;0,0014;0,0038;0,0052;35;6,00E-04
3;F4;C1;S. ruralis Medium;9;31;192;624;S. ruralis;Medium;1,00E-04;0,0038;0,0039;2,5;-5,00E-05
3;F5;C1;P. capillare Medium;34;45;100;599;P. capillare;Medium;5,00E-04;0,002;0,0025;12,5;-0,00075
3;F1;C2;S. ruralis Small;1;2;168;647;S. ruralis;Small;0;0,0035;0,0035;0;-0,00025
3;F2;C2;S. ruralis Medium;7;21;170;634;S. ruralis;Medium;1,00E-04;0,0038;0,0039;2,5;-5,00E-05
3;F3;C2;H. aureum Small;22;34;120;645;H. aureum;Small;2,00E-04;0,0026;0,0028;5;-6,00E-04
3;F4;C2;D. scoparium Small;0;0;202;662;D. scoparium;Small;0;0,0037;0,0037;0;-0,00015
3;F5;C2;H. cupressiforme Large;15;21;99;607;H. cupressiforme;Large;1,00E-04;0,0066;0,0067;2,5;0,00135
3;F1;C3;S. ruralis Small;3;3;186;638;S. ruralis;Small;0;0,0038;0,0038;0;-1,00E-04
3;F2;C3;S. ruralis Small;2;2;194;627;S. ruralis;Small;0;0,0038;0,0038;0;-1,00E-04
3;F3;C3;T. squarrosa Small;117;84;170;651;T. squarrosa;Small;5,00E-04;0,0039;0,0044;12,5;2,00E-04
3;F4;C3;T. squarrosa Large;54;122;177;619;T. squarrosa;Large;0,0028;0,0034;0,0062;70;0,0011
3;F5;C3;H. cupressiforme Medium;10;12;123;590;H. cupressiforme;Medium;2,00E-04;0,0036;0,0038;5;-1,00E-04
3;F1;C4;S. ruralis Medium;9;17;144;649;S. ruralis;Medium;1,00E-04;0,0043;0,0044;2,5;2,00E-04
3;F3;C4;T. squarrosa Medium;113;61;163;657;T. squarrosa;Medium;5,00E-04;0,004;0,0045;12,5;0,00025
3;F4;C4;T. squarrosa Medium;100;68;147;650;T. squarrosa;Medium;0,0022;0,0045;0,0067;55;0,00135
3;F5;C4;H. cupressiforme Small;0;0;135;659;H. cupressiforme;Small;0;0,0035;0,0035;0;-0,00025
3;F1;C5;D. scoparium Small;0;0;172;625;D. scoparium;Small;0;0,0035;0,0035;0;-0,00025
3;F2;C5;D. scoparium Small;0;0;171;636;D. scoparium;Small;0;0,0029;0,0029;0;-0,00055
3;F3;C5;S. ruralis Medium;5;8;180;637;S. ruralis;Medium;0;0,0042;0,0042;0;1,00E-04
3;F4;C5;S. ruralis Large;33;70;142;605;S. ruralis;Large;5,00E-04;0,004;0,0045;12,5;0,00025
3;F5;C5;T. squarrosa Medium;56;54;171;609;T. squarrosa;Medium;7,00E-04;0,0039;0,0046;17,5;3,00E-04
3;F1;C1;D. scoparium Large;6;19;126;634;D. scoparium;Large;5,00E-04;0,0041;0,0046;12,5;3,00E-04
3;F2;C1;P. capillare Large;36;55;128;603;P. capillare;Large;0,0026;0,0034;0,006;65;0,001
3;F3;C1;S. ruralis Large;19;35;106;643;S. ruralis;Large;8,00E-04;0,0044;0,0052;20;6,00E-04
3;F4;C1;P. capillare Small;18;33;155;620;P. capillare;Small;1,00E-04;0,0036;0,0037;2,5;-0,00015
3;F5;C1;H. aureum Small;32;28;137;647;H. aureum;Small;3,00E-04;0,0027;0,003;7,5;-5,00E-04
3;F1;C2;D. scoparium Medium;1;2;190;666;D. scoparium;Medium;0;0,0047;0,0047;0;0,00035
3;F2;C2;H. cupressiforme Large;15;28;128;616;H. cupressiforme;Large;4,00E-04;0,004;0,0044;10;2,00E-04
3;F3;C2;D. scoparium Medium;0;0;187;626;D. scoparium;Medium;0;0,004;0,004;0;0
3;F4;C2;S. ruralis Large;24;75;135;660;S. ruralis;Large;0,0011;0,0039;0,005;27,5;5,00E-04
3;F5;C2;H. cupressiforme Small;0;0;109;623;H. cupressiforme;Small;0;0,0031;0,0031;0;-0,00045
3;F1;C3;T. squarrosa Medium;51;50;148;659;T. squarrosa;Medium;3,00E-04;0,0048;0,0051;7,5;0,00055
3;F2;C3;H. cupressiforme Large;22;42;126;635;H. cupressiforme;Large;4,00E-04;0,0037;0,0041;10;5,00E-05
3;F3;C3;S. ruralis Small;1;1;174;627;S. ruralis;Small;0;0,0034;0,0034;0;-3,00E-04
3;F4;C3;H. cupressiforme Medium;13;22;132;630;H. cupressiforme;Medium;1,00E-04;0,0031;0,0032;2,5;-4,00E-04
3;F5;C3;P. capillare Large;20;41;110;610;P. capillare;Large;7,00E-04;0,0028;0,0035;17,5;-0,00025
3;F1;C4;H. aureum Large;9;24;120;655;H. aureum;Large;8,00E-04;0,0044;0,0052;20;6,00E-04
3;F2;C4;D. scoparium Large;2;6;132;635;D. scoparium;Large;2,00E-04;0,0034;0,0036;5;-2,00E-04
3;F3;C4;T. squarrosa Small;92;51;174;625;T. squarrosa;Small;3,00E-04;0,0041;0,0044;7,5;2,00E-04
3;F4;C4;D. scoparium Medium;1;1;172;654;D. scoparium;Medium;0;0,0033;0,0033;0;-0,00035
3;F1;C5;H. aureum Medium;32;46;120;659;H. aureum;Medium;0,0018;0,0031;0,0049;45;0,00045
3;F2;C5;H. aureum Large;16;25;136;660;H. aureum;Large;7,00E-04;0,0043;0,005;17,5;5,00E-04
3;F3;C5;P. capillare Small;6;5;134;643;P. capillare;Small;0;0,0032;0,0032;0;-4,00E-04
3;F4;C5;H. cupressiforme Small;1;1;91;644;H. cupressiforme;Small;0;0,0039;0,0039;0;-5,00E-05
3;F5;C5;T. squarrosa Large;26;39;176;585;T. squarrosa;Large;0,0011;0,004;0,0051;27,5;0,00055
